,catg_no,category2_no,category1_name,category2_name,category3_no,category3_name,href
60208,6,1k5h,销售,销售管理,0208,其他销售管理职位,https://www.lagou.com/zhaopin/qitaxiaoshouguanligangwei/
70101,7,4T00,职能,人力资源,0101,人力资源,https://www.lagou.com/zhaopin/renliziyuan1/
70102,7,4T00,职能,人力资源,0102,招聘,https://www.lagou.com/zhaopin/zhaopin/
70103,7,4T00,职能,人力资源,0103,HRBP,https://www.lagou.com/zhaopin/HRBP/
70104,7,4T00,职能,人力资源,0104,人事/HR,https://www.lagou.com/zhaopin/renshiHR/
70105,7,4T00,职能,人力资源,0105,培训经理,https://www.lagou.com/zhaopin/peixunjingli/
70106,7,4T00,职能,人力资源,0106,薪资福利经理,https://www.lagou.com/zhaopin/xinzifulijingli/
70107,7,4T00,职能,人力资源,0107,绩效考核经理,https://www.lagou.com/zhaopin/jixiaokaohejingli/
70108,7,4T00,职能,人力资源,0108,员工关系,https://www.lagou.com/zhaopin/yuangongguanxi/
70201,7,4T00,职能,行政,0201,助理,https://www.lagou.com/zhaopin/zhuli/
70202,7,4T00,职能,行政,0202,前台,https://www.lagou.com/zhaopin/qiantai/
70203,7,4T00,职能,行政,0203,行政,https://www.lagou.com/zhaopin/xingzheng1/
70204,7,4T00,职能,行政,0204,总助,https://www.lagou.com/zhaopin/zongzhu/
70205,7,4T00,职能,行政,0205,文秘,https://www.lagou.com/zhaopin/wenmi/
70301,7,4T00,职能,财务,0301,会计,https://www.lagou.com/zhaopin/kuaiji/
70302,7,4T00,职能,财务,0302,出纳,https://www.lagou.com/zhaopin/chuna/
70303,7,4T00,职能,财务,0303,财务,https://www.lagou.com/zhaopin/caiwu1/
70304,7,4T00,职能,财务,0304,结算,https://www.lagou.com/zhaopin/jiesuan/
70305,7,4T00,职能,财务,0305,税务,https://www.lagou.com/zhaopin/shuiwu/
70306,7,4T00,职能,财务,0306,审计,https://www.lagou.com/zhaopin/shenji/
70307,7,4T00,职能,财务,0307,风控,https://www.lagou.com/zhaopin/fengkong/
70401,7,4T00,职能,法务,0401,法务,https://www.lagou.com/zhaopin/fawu2/
70402,7,4T00,职能,法务,0402,律师,https://www.lagou.com/zhaopin/lvshi/
70403,7,4T00,职能,法务,0403,专利,https://www.lagou.com/zhaopin/zhuanli/
70501,7,4T00,职能,高端职位,0501,行政总监/经理,https://www.lagou.com/zhaopin/xingzhengzongjianjingli/
70502,7,4T00,职能,高端职位,0502,财务总监/经理,https://www.lagou.com/zhaopin/caiwuzongjianjingli/
70503,7,4T00,职能,高端职位,0503,HRD/HRM,https://www.lagou.com/zhaopin/HRDHRM/
70504,7,4T00,职能,高端职位,0504,CFO,https://www.lagou.com/zhaopin/CFO/
70505,7,4T00,职能,高端职位,0505,CEO,https://www.lagou.com/zhaopin/ceo/
80101,8,1k5i,游戏,技术开发,0101,H5游戏开发,https://www.lagou.com/zhaopin/H5youxikaifa/
80102,8,1k5i,游戏,技术开发,0102,小游戏开发,https://www.lagou.com/zhaopin/xiaoyouxikaifa/
